किसी	PRP	S
स्थान	NN	I
या	CC	I
प्रदेश	NNP	I
की	PSP	I
जलवायु	NN	I
को	PSP	I
प्रभावित	JJ	I
करने	VM	I
वाले	PSP	I
कारक	NN	I
हैं	VM	I
-	SYM	I
विषुवत	NNPC	I
वृत्त	NN	I
से	PSP	I
दूरी	NN	I
,	SYM	I
समुद्रतल	NN	I
से	PSP	I
ऊँचाई	NN	I
,	SYM	I
समुद्र	NN	I
से	PSP	I
दूरी	NN	I
,	SYM	I
प्रचलित	JJ	I
पवनें	NNP	I
,	SYM	I
मेघाच्छादन	NNP	I
,	SYM	I
समुद्री	JJ	I
धाराएँ	NN	I
,	SYM	I
पर्वतों	NN	I
की	PSP	I
स्थिति	NN	I
,	SYM	I
भूमि	NN	I
का	PSP	I
ढाल	NN	I
एवं	CC	I
अभिमुखता	NN	I
,	SYM	I
मिट्टी	NN	I
की	PSP	I
प्रकृति	NN	I
एवं	CC	I
वनस्पति	NNC	I
आवरण	NN	E
।	SYM	O
